song_title,song_length,song_artists,album_title
In This Together,2:10,Boil The Ocean,In This Together
Time - Ambient Version,5:12,The American Dollar,Music for Chilling Out
Branch,2:04,Keith Kenniff,Branches
The First Day of Spring,1:55,A Dancing Beggar,Homemade Recordings 2009 - 2012
Skinny Trees,3:44,A Dancing Beggar,Homemade Recordings 2009 - 2012
Northern Lights,3:36,Chasing Noise,Wonderland
Pale Lights,4:43,This Patch of Sky,These Small Spaces
Astral Projection,2:42,Astron,"Sound Therapy Ambient Compilation, Vol. 1"
In the Clouds,2:57,Astron,In the Clouds
Waiting for Nothing,3:20,Evolution of Stars,Pretending
Pretending,3:07,Evolution of Stars,Pretending
Finding Faith,2:37,Amaranth Cove,The Story Of Us
Dreams Of Another Reality,3:10,August Wilhelmsson,I Was Arthur
Opening the Gates,4:43,Chequerboard,The Unfolding
Waiting For Sundown,3:55,Monocle Twins,Waiting For Sundown
The Road to Life,3:52,Monocle Twins,The Road To Life
Mysterium,7:10,Hammock,Mysterium
Hypersleep,2:53,65daysofstatic,No Man's Sky: Music For An Infinite Universe
Neon Colors,3:49,Arctic Vision,Arctic Vision
Journey South,4:22,Age Of Spades,Journey South
Highs And Lows,4:51,Airwaves,Event Horizon
You Gotta Keep Moving,4:09,Airwaves,Event Horizon
Thunder Rising,5:46,The American Dollar,Thunder Rising
Carousel,4:38,The American Dollar,Carousel
Guided by the Glowing Sea,4:29,The American Dollar,Guided by the Glowing Sea
Pale Lights (This Will Destroy You Remix),5:28,"This Patch of Sky, This Will Destroy You",These Small Spaces
Lighthouse,5:42,Seas of Years,Ocean Rift
Stairwell,5:08,Seas of Years,Drifting Ever Shifting
The Red Truth,4:39,Helios,Caesura
Hope Valley Hill,5:18,Helios,Caesura
Materialising,4:08,Of Water,Beyond Exploding Stars
Silence of Siberia,7:27,Lowercase Noises,This Is for Our Sins
The Last Stage of Consumption,8:05,Lowercase Noises,The Swiss Illness
Father's Land,5:34,Jordan Critz,Kingdom
Your First Light My Eventide,5:10,The Echelon Effect,"Seasons, Pt. 1"
Venice,3:17,PLVCES,Plvces
What You Love You Must Love Now,5:22,The Six Parts Seven,Everywhere And Right Here
Let Me Keep This Memory,4:00,U137,Dreamer on the Run
From Embrace To Embrace,6:24,Joy Wants Eternity,You Who Pretend To Sleep
Worth Everything Ever Wished for,5:54,The End Of The Ocean,Pacific•atlantic
Catching Fireflies,5:48,The Soul's Release,Where the Trees Are Painted White - EP
Fireflies,5:04,Random Forest,Awakening
Silver Lining,3:59,Lights & Motion,Dear Avalanche
Everest,3:02,Lights & Motion,Dear Avalanche
Fireflies,5:26,Lights & Motion,Chronicle
Hello!,3:39,"Explosions In The Sky, David Wingo",Manglehorn (Original Motion Picture Soundtrack)
An Old Peasant Like Me,3:47,"Explosions In The Sky, David Wingo",Prince Avalanche: An Original Motion Picture Soundtrack
Essential Attitudes,3:38,Peals,Honey
Near Light,3:28,Ólafur Arnalds,Living Room Songs
It's Dark It's Cold It's Winter,4:49,sleepmakeswaves,sleepmakeswaves (USA)
Going Home,4:12,Intrinsic Focus,Going Home
The Stars In Spring,4:16,Epic45,May Your Heart Be The Map
Boy 1904,5:03,"Jónsi, Alex Somers",Riceboy Sleeps
Gratification,4:17,Halcyon Fields,Waves Of Hope
Fanshawe,5:10,El Ten Eleven,El Ten Eleven
Requiem On Frankfort Ave,2:41,Eluvium,Copia
Starlights,5:14,Tracey Chattaway,Nightsky
Light the Night,4:53,Tracey Chattaway,Nightsky
Blue Reef,3:38,Pim Miles,Landscapes
Blanketed in Snow a Place Returned,3:50,CFCF,Radiance & Submission
Anything You Synthesize - Ambient,4:08,The American Dollar,Ambient One
Ether,5:09,Mogwai,Ether
Winter Of The Electric Beach,4:04,"Alex Smalley, Olan Mill",Half Seas Over
Gusts of Wind Blowing in Different Directions,2:21,The Last Dinosaur,Hooray! For Happiness
Entirety,3:33,Bon Vie,Entirety
Driggs AVE 4 am,3:14,Brooklyn Comatose,Driggs AVE 4 am
Askja,4:15,Dreyma,Askja
Petrichor (Bonus Digital Track),2:10,Set and Setting,Equanimity
Losing You to You,6:23,Hammock,An Introduction to Hammock
I Can Almost See You,4:13,Hammock,Raising Your Voice...Trying to Stop an Echo
Night After Sidewalk,3:31,Kaki King,Everybody Loves You
Oceans (Where Feet May Fail),5:45,Bethel Music,Without Words: Synesthesia
Hibernation,5:06,Random Forest,Hibernation
Awakening,7:38,Random Forest,Awakening
Polar Light,5:39,David West,Tell Me
Petrichor,3:40,"At The End Of Times, Nothing",Everything We See Will Die
Love Is in Beauty and Chaos,4:43,This Patch of Sky,This Patch of Sky
